File1,File2,Compatibilità%,Distanza,Status,Hash1,Hash2,Timestamp
binLaden2.jpeg,MonicaBellucci3.jpeg,8.14,0.183716,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,fb87a2b5c10a2ecb248ba804654e151be77ba6806d6f3401f044cdf000558984,2025-11-07 12:30:55
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.48.10.png,68.88,0.062239,MEDIA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,15d6de14f645dac1081579521b20bf560de5333bf01f4c77c9aea501c0b1c039,2025-11-07 12:31:30
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.48.50.png,55.96,0.088076,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,9cbb8ae409563ebcdd981fb78a80df74f4245a28a0dbf4e1a0c20f2c8c3bb1f9,2025-11-07 12:31:31
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.49.27.png,67.00,0.065997,MEDIA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,3cef4d2111a004c9df2d2543296dbb336b7832ff893e8004334984924e79cf7e,2025-11-07 12:31:31
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.50.22.png,31.71,0.136586,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,036b35d744ae52a0acb78e6803f6d8fb582a342ac0637dd3c05c5b8150ed2f51,2025-11-07 12:31:31
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.50.30.png,42.55,0.114897,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,829e1b6745badf2689191df70e73ad757a9943ae1ccdd3d95f84c0bacbf7d51e,2025-11-07 12:31:31
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.51.20.png,20.62,0.158760,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,721a6b56eb984fc4685c8720caca7ef1a5db299ddc1b95a8fe625a61979ea0c3,2025-11-07 12:31:32
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.52.56.png,16.03,0.167930,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,098e7c6eae43a6b00ebbd41d8ff8d19105d3f0484d78501cf136b73ef023aa4e,2025-11-07 12:31:32
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.53.48.png,23.12,0.153768,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,0b00eed42d89e2440afb8132042562aba3ce5e3bfff6a3c76603bd0a96128f7e,2025-11-07 12:31:33
binLaden2.jpeg,Screenshot 2025-08-01 alle 13.54.40.png,26.97,0.146050,BASSA,5825ebe1e85120f0a77e800572a2843aded541bfa3410916f128e0fb37f1b5d4,39bff86f581ee3f2a1bbf4f944fcdb18c8817c2fe5d39c0204c8ed746d51a3c0,2025-11-07 12:31:33
